genre_id,category_name,ranking_group
560271,ケース・カバー（スマートフォン・携帯電話アクセサリー｜スマートフォン・タブレット）,"Bags, travel & accessories"
562641,電気給湯器（給湯器｜住宅設備家電）,Electronics
563339,赤ワイン（ワイン｜ビール・洋酒）,Food & drink
563342,スパークリングワイン・シャンパン（ワイン｜ビール・洋酒）,Food & drink
563689,Genre 563689,Other
564286,ミラーレス一眼カメラ（デジタルカメラ｜カメラ・ビデオカメラ・光学機器）,Electronics
564647,ご飯パック（米・雑穀｜食品）,Food & drink
564895,スマートウォッチ本体（スマートフォン・タブレット）,Electronics
565724,キャットフード（キャットフード・サプリメント｜猫用品）,Beauty & health
566061,あごだし（だし｜調味料）,Food & drink
566403,本体（Nintendo Switch｜テレビゲーム）,Electronics
566647,蒲焼き（和風惣菜｜惣菜）,Food & drink
567251,マヌカハニー（はちみつ・ハニー｜ジャム・はちみつ）,Food & drink
567434,クリーニング（衣類関連サービス｜サービス・リフォーム）,Services
567538,シャンプー・トリートメントセット（ヘアケア・スタイリング｜美容・コスメ・香水）,Beauty & health
567554,セット（鍋・フライパン｜キッチン用品・食器・調理器具）,Home & living
567623,その他（アミノ酸｜サプリメント）,Beauty & health
567645,植物茶（茶葉・ティーバッグ｜お茶・紅茶）,Food & drink
567662,白ワインセット（飲み比べセット｜ワイン）,Food & drink
567664,スパークリングワイン・シャンパンセット（飲み比べセット｜ワイン）,Food & drink
567665,モルト・ウイスキー（スコッチ・ウイスキー｜ウイスキー）,Food & drink
